title,brand,price,img_url,category,shelf_life,id
Orange Carrot Soap,Soulflower,300.0,https://www.bigbasket.com/media/uploads/p/l/30006965_3-soulflower-cold-processed-orange-carrot-handmade-soap.jpg,Beauty & Hygiene,520.0,226
"20% Vitamin C Face Serum - Oil Free, Hydrate, Brighten Complexion",Wow Skin Science,1398.0,https://www.bigbasket.com/media/uploads/p/l/1216918_1-wow-skin-science-20-vitamin-c-face-serum-oil-free-hydrate-brighten-complexion.jpg,Beauty & Hygiene,520.0,227
"Idli Stand/Maker - With 4 Plates & 3 Cavities, Perfect For Big Pressure Cooker",Segovia,949.0,https://www.bigbasket.com/media/uploads/p/l/40234623_2-segovia-idli-standmaker-with-4-plates-3-cavities-perfect-for-big-pressure-cooker.jpg,"Kitchen, Garden & Pets",,228
"Premium King Jumbo Steel Cloth Dryer Stand - Sturdy, Orange",Ciplaplast,4490.0,https://www.bigbasket.com/media/uploads/p/l/40164499_2-ciplaplast-premium-king-jumbo-steel-cloth-dryer-stand-orange.jpg,"Kitchen, Garden & Pets",,229
Olive Pomace Oil,ALLEGRO,850.0,https://www.bigbasket.com/media/uploads/p/l/40117987_6-allegro-olive-pomace-oil.jpg,"Foodgrains, Oil & Masala",180.0,230
Nourishing Baby Soap With Almond & Milk Extracts,Mee Mee,177.0,https://www.bigbasket.com/media/uploads/p/l/40118352_5-mee-mee-nourishing-baby-soap-with-almond-milk-extracts.jpg,Baby Care,365.0,231
"Body Wash & Shower Gel - Cool, Provides Odour Protection, Mint & Bergamot",Dettol,200.0,https://www.bigbasket.com/media/uploads/p/l/40184903_7-dettol-body-wash-shower-gel-cool-provides-odour-protection-mint-bergamot.jpg,Beauty & Hygiene,520.0,232
"Stainless Steel Rice Serving Spoon - Medium, Classic Diana Series, BBST37",BB Home,125.0,https://www.bigbasket.com/media/uploads/p/l/40190893_8-bb-home-stainless-steel-rice-serving-spoon-medium-classic-diana-series-bbst37.jpg,"Kitchen, Garden & Pets",,233
"Store Fresh Microwaveable Plastic Container Set - Transparent, Blue, L5682C9-10",Princeware,383.0,https://www.bigbasket.com/media/uploads/p/l/40135633_3-princeware-store-fresh-microwaveable-plastic-container-set-transparent-blue-l5682c9-10.jpg,"Kitchen, Garden & Pets",,234
"2-Minute Noodles Masala - Made With Quality Spices, Rich In Fibre",MAGGI ,168.0,https://www.bigbasket.com/media/uploads/p/l/40125873_4-maggi-2-minute-noodles-masala.jpg,Snacks & Branded Foods,,235
Soft Matte Lip Gloss,Swiss Beauty,249.0,https://www.bigbasket.com/media/uploads/p/l/40219871_1-swiss-beauty-soft-matte-lip-gloss.jpg,Beauty & Hygiene,520.0,236
"LED Lamp/T-Bulb - 10 Watt, Cool Daylight, Base B22",Philips,310.0,https://www.bigbasket.com/media/uploads/p/l/40158553_1-philips-led-lamp-10-watt-cool-daylight-t-bulb-base-b22.jpg,"Kitchen, Garden & Pets",,237
100% Natural Kashmiri Deluxe Walnuts Kernels,Happilo,425.0,https://www.bigbasket.com/media/uploads/p/l/40087193_6-happilo-deluxe-kashmiri-walnut-kernels.jpg,Gourmet & World Food,,238
Diaper Pants - New Born,Pampers ,849.0,https://www.bigbasket.com/media/uploads/p/l/40141638_8-pampers-diaper-pants-new-born.jpg,Baby Care,365.0,239
L'Amante Aqua Eau De Parfum - Perfume For Men,Engage,999.0,https://www.bigbasket.com/media/uploads/p/l/40203935_1-engage-lamante-aqua-eau-de-parfum-perfume-for-men.jpg,Beauty & Hygiene,520.0,240
"Borosilicate Glass Water Bottle - Red, Durable, Leak Proof, Multi-Utility Sleek & Stylish Exterior,",Renberg,695.0,https://www.bigbasket.com/media/uploads/p/l/40255067_1-renberg-borosilicate-glass-water-bottle-red-durable-leak-proof-multi-utility-sleek-stylish-exterior.jpg,"Kitchen, Garden & Pets",,241
Nutritive Solutions Daily Shine Shampoo - For Dull Hair,Dove,930.0,https://www.bigbasket.com/media/uploads/p/l/40195281_3-dove-daily-shine-shampoo.jpg,Beauty & Hygiene,520.0,242
"Peri-Peri Chicken Wings - Fresh & Juicy, Marinated, Ready To Cook",Fresho,181.0,https://www.bigbasket.com/media/uploads/p/l/40231704_2-fresho-peri-peri-chicken-wings-juicy-fresh.jpg,"Eggs, Meat & Fish",60.0,243
Khari - Jeera,Tasties,119.0,https://www.bigbasket.com/media/uploads/p/l/40106025_7-tasties-khari-jeera.jpg,"Bakery, Cakes & Dairy",30.0,244
Stainless Steel Net Cover - 20 cm,Elephant ,176.0,https://www.bigbasket.com/media/uploads/p/l/40163239_4-elephant-stainless-steel-net-cover-20-cm.jpg,"Kitchen, Garden & Pets",,245
